gate_count,replica,circuit_seed,mode,circuit_fingerprint,n_h_slots,n_t_slots,n_cnot,n_gates_total,n_quantum_params_if_vqc,r2_holdout,rmse_holdout,mae_holdout,pearson_holdout,spearman_holdout,r2_val,best_val_rmse,train_time_s,epochs_run,n_trainable_total,n_quantum_params
3,27,1078,param_vqc,h:3|t:2|h:3,2,1,0,3,3,0.4678325653076172,0.7217732576614062,0.5644554495811462,0.6874727606773376,0.6762616787178883,0.9533565044403076,0.21717267500413512,141.63275599479675,15.0,868.0,3.0
3,28,1079,fixed_e2e,t:3|h:5|h:4,2,1,0,3,3,0.4729408025741577,0.7183007619322408,0.5568861961364746,0.6930172443389893,0.6828809002723115,0.9859830141067505,0.1190521427590746,208.7978081703186,15.0,5599.0,0.0
3,28,1079,param_vqc,t:3|h:5|h:4,2,1,0,3,3,0.4426804780960083,0.7386330871242598,0.5816176533699036,0.6713515520095825,0.6624746806817869,0.9348316192626953,0.256701256428212,143.5473108291626,15.0,868.0,3.0
3,29,1080,fixed_e2e,"cx:4,2|h:3|h:2",2,0,1,3,2,0.46862173080444336,0.721237893953323,0.5633631348609924,0.6848528385162354,0.672816443260758,0.984296441078186,0.12601106008691407,220.41972589492798,15.0,5599.0,0.0
3,29,1080,param_vqc,"cx:4,2|h:3|h:2",2,0,1,3,2,0.4776599407196045,0.7150778465307963,0.5586063265800476,0.6932076215744019,0.6807063424974894,0.9502933025360107,0.22419042076024648,148.1332869529724,15.0,867.0,2.0
10,0,1170,fixed_e2e,"h:1|h:0|t:5|t:3|h:4|t:3|t:3|cx:5,4|cx:5,3|t:1",3,5,2,10,8,0.47095930576324463,0.7196497468574613,0.5637492537498474,0.6902462840080261,0.6798245657848894,0.9836199879646301,0.1286965818025881,256.38703513145447,15.0,5599.0,0.0
10,0,1170,param_vqc,"h:1|h:0|t:5|t:3|h:4|t:3|t:3|cx:5,4|cx:5,3|t:1",3,5,2,10,8,0.4583946466445923,0.7281453927913112,0.5657819509506226,0.6807166337966919,0.6651536221790705,0.9741535782814026,0.16166272160318682,205.36290907859802,15.0,873.0,8.0
10,1,1171,fixed_e2e,"cx:3,1|cx:4,0|cx:1,3|h:4|h:3|t:2|cx:0,1|cx:4,2|h:3|h:0",4,1,5,10,5,0.45938408374786377,0.7274799911788727,0.5674323439598083,0.6827532649040222,0.6726870110827187,0.9817819595336914,0.13572528102618706,257.08237314224243,15.0,5599.0,0.0
10,1,1171,param_vqc,"cx:3,1|cx:4,0|cx:1,3|h:4|h:3|t:2|cx:0,1|cx:4,2|h:3|h:0",4,1,5,10,5,0.46448814868927,0.7240377057884356,0.5681796669960022,0.6840434074401855,0.6695803425178187,0.9561251401901245,0.21062861892239992,198.452956199646,15.0,870.0,5.0
10,2,1172,fixed_e2e,"t:4|t:4|h:0|cx:1,4|cx:1,4|cx:5,1|cx:5,0|h:3|t:4|t:0",2,4,4,10,6,0.467942476272583,0.7216987246014358,0.5636081099510193,0.6855946779251099,0.674490338740086,0.9854583144187927,0.12125989452649215,252.21770524978638,15.0,5599.0,0.0
10,2,1172,param_vqc,"t:4|t:4|h:0|cx:1,4|cx:1,4|cx:5,1|cx:5,0|h:3|t:4|t:0",2,4,4,10,6,0.4652405381202698,0.7235288970095748,0.5662802457809448,0.6843581795692444,0.6765054321842133,0.9470124840736389,0.23147091140500153,182.21659302711487,15.0,871.0,6.0
10,3,1173,fixed_e2e,"t:1|cx:5,1|t:0|t:2|h:2|h:1|cx:4,5|t:0|cx:0,2|cx:2,1",2,4,4,10,6,0.477954626083374,0.7148760595472221,0.5600296258926392,0.6918295621871948,0.679922176206859,0.9844235181808472,0.12550006618156057,242.50664925575256,15.0,5599.0,0.0
